scenario,policy,trial,bytes_kb,hit_rate,seed,ablation
nightly_wifi,acorn,1356,953639.1600515754,0.75,1356,gamma0
nightly_wifi,acorn,1357,929440.4493133724,0.7333333333333333,1357,gamma0
nightly_wifi,acorn,1358,978822.2331912753,0.9166666666666666,1358,gamma0
nightly_wifi,acorn,1359,974815.0404030766,0.9916666666666667,1359,gamma0
nightly_wifi,acorn,1360,928988.2769921923,0.6916666666666667,1360,gamma0
nightly_wifi,acorn,1361,896704.7723412258,0.7916666666666666,1361,gamma0
nightly_wifi,acorn,1362,847727.2379636955,0.875,1362,gamma0
nightly_wifi,acorn,1363,863028.7132665713,1.0,1363,gamma0
nightly_wifi,acorn,1364,970495.1543287776,0.5666666666666667,1364,gamma0
nightly_wifi,acorn,1365,902955.0375196099,0.5333333333333333,1365,gamma0
nightly_wifi,acorn,1366,893276.6559238071,0.7583333333333333,1366,gamma0
nightly_wifi,acorn,1337,962639.7208676164,0.75,1337,delta0
nightly_wifi,acorn,1338,971156.3356994961,0.7083333333333334,1338,delta0
nightly_wifi,acorn,1339,1030889.7956603522,0.8583333333333333,1339,delta0
nightly_wifi,acorn,1340,1006556.4007718662,0.9083333333333333,1340,delta0
nightly_wifi,acorn,1341,993727.0065975673,0.5666666666666667,1341,delta0
nightly_wifi,acorn,1342,885375.4900514607,0.9583333333333334,1342,delta0
nightly_wifi,acorn,1343,1013703.4064597241,0.6833333333333333,1343,delta0
nightly_wifi,acorn,1344,949338.4474898673,0.975,1344,delta0
nightly_wifi,acorn,1345,927208.4302212772,0.9666666666666667,1345,delta0
nightly_wifi,acorn,1346,961411.1675842598,0.575,1346,delta0
nightly_wifi,acorn,1347,893332.5657287986,0.875,1347,delta0
nightly_wifi,acorn,1348,859023.1805191049,0.7166666666666667,1348,delta0
nightly_wifi,acorn,1349,886299.6242276819,0.5166666666666667,1349,delta0
nightly_wifi,acorn,1350,978204.8574124514,0.7166666666666667,1350,delta0
nightly_wifi,acorn,1351,999656.1103486613,0.6916666666666667,1351,delta0
nightly_wifi,acorn,1352,1017769.6303525784,0.55,1352,delta0
nightly_wifi,acorn,1353,921914.5306327761,0.875,1353,delta0
nightly_wifi,acorn,1354,1022602.121688881,0.825,1354,delta0
nightly_wifi,acorn,1355,872393.3535214446,0.6083333333333333,1355,delta0
nightly_wifi,acorn,1356,953639.1600515753,0.75,1356,delta0
nightly_wifi,acorn,1357,929440.4493133724,0.7333333333333333,1357,delta0
nightly_wifi,acorn,1358,978822.2331912753,0.9166666666666666,1358,delta0
nightly_wifi,acorn,1359,974815.0404030764,0.9916666666666667,1359,delta0
nightly_wifi,acorn,1360,928988.2769921921,0.6916666666666667,1360,delta0
nightly_wifi,acorn,1361,896704.7723412258,0.7916666666666666,1361,delta0
nightly_wifi,acorn,1362,847727.2379636955,0.875,1362,delta0
nightly_wifi,acorn,1363,863028.7132665712,1.0,1363,delta0
nightly_wifi,acorn,1364,970495.1543287776,0.5666666666666667,1364,delta0
nightly_wifi,acorn,1365,902955.0375196099,0.5333333333333333,1365,delta0
nightly_wifi,acorn,1366,893276.6559238068,0.7583333333333333,1366,delta0
spotty_cellular,acorn,1337,217550.20889335996,0.16666666666666666,1337,full
spotty_cellular,acorn,1338,200715.2553127827,0.075,1338,full
spotty_cellular,acorn,1339,189421.45201835892,0.058333333333333334,1339,full
spotty_cellular,acorn,1340,177167.44639112122,0.08333333333333333,1340,full
spotty_cellular,acorn,1341,207085.4647544055,0.0,1341,full
spotty_cellular,acorn,1342,237226.7798689099,0.08333333333333333,1342,full
spotty_cellular,acorn,1343,195885.11862388946,0.14166666666666666,1343,full
spotty_cellular,acorn,1344,249957.91517349577,0.325,1344,full
spotty_cellular,acorn,1345,187312.53971510852,0.20833333333333334,1345,full
spotty_cellular,acorn,1346,235904.9843209502,0.24166666666666667,1346,full
spotty_cellular,acorn,1347,191672.4334207243,0.05,1347,full
spotty_cellular,acorn,1348,194152.0462472674,0.008333333333333333,1348,full
spotty_cellular,acorn,1349,191263.39034932118,0.0,1349,full
spotty_cellular,acorn,1350,206776.43494194868,0.0,1350,full
spotty_cellular,acorn,1351,194721.13307726494,0.008333333333333333,1351,full
spotty_cellular,acorn,1352,191618.3582462911,0.0,1352,full
spotty_cellular,acorn,1353,185364.61824810575,0.075,1353,full
spotty_cellular,acorn,1354,212740.09020446314,0.05,1354,full
spotty_cellular,acorn,1355,175010.74892391235,0.1,1355,full
spotty_cellular,acorn,1356,196645.12426471213,0.0,1356,full
spotty_cellular,acorn,1357,239283.84204162206,0.058333333333333334,1357,full
spotty_cellular,acorn,1358,155093.54991722855,0.0,1358,full
spotty_cellular,acorn,1359,159131.69284578887,0.016666666666666666,1359,full
spotty_cellular,acorn,1360,247066.52931933478,0.15,1360,full
spotty_cellular,acorn,1361,264230.721777019,0.058333333333333334,1361,full
spotty_cellular,acorn,1362,191247.2617044143,0.0,1362,full
spotty_cellular,acorn,1363,242107.65493073108,0.125,1363,full
