scenario,policy,trial,bytes_kb,hit_rate,seed
spotty_cellular,acorn,1358,155093.54991722855,0.0,1358
spotty_cellular,acorn,1359,159131.69284578887,0.016666666666666666,1359
spotty_cellular,acorn,1360,247066.52931933478,0.15,1360
spotty_cellular,acorn,1361,264230.721777019,0.058333333333333334,1361
spotty_cellular,acorn,1362,191247.2617044143,0.0,1362
spotty_cellular,acorn,1363,242107.65493073108,0.125,1363
spotty_cellular,acorn,1364,180317.69694273517,0.18333333333333332,1364
spotty_cellular,acorn,1365,176141.69833457447,0.0,1365
spotty_cellular,acorn,1366,237833.55362662155,0.0,1366
spotty_cellular,lru_whole,1337,213750.83022154213,0.06666666666666667,1337
spotty_cellular,lru_whole,1338,199171.30492049613,0.008333333333333333,1338
spotty_cellular,lru_whole,1339,188162.46259154155,0.016666666666666666,1339
