scenario,eta,trial,bytes_kb,hit_rate
nightly_wifi,0.4,3,954482.6431963717,0.9583333333333334
nightly_wifi,0.4,4,953121.5114830546,0.725
nightly_wifi,0.4,5,885375.4900514609,1.0
nightly_wifi,0.4,6,950917.8815657226,0.7416666666666667
nightly_wifi,0.4,7,949338.4474898668,1.0
nightly_wifi,0.4,8,927208.4302212765,1.0
nightly_wifi,0.4,9,959551.1289380798,0.6833333333333333
nightly_wifi,0.4,10,893332.565728799,0.9916666666666667
nightly_wifi,0.4,11,859023.1805191054,0.85
nightly_wifi,0.4,12,886299.6242276821,0.5916666666666667
nightly_wifi,0.4,13,950299.5466717404,0.85
nightly_wifi,0.4,14,954696.6521450127,0.8666666666666667
nightly_wifi,0.4,15,948619.7832669838,0.6833333333333333
nightly_wifi,0.4,16,921914.5306327762,1.0
nightly_wifi,0.4,17,954749.2307153202,0.9166666666666666
nightly_wifi,0.4,18,872393.3535214446,0.7083333333333334
nightly_wifi,0.4,19,953639.1600515755,0.8833333333333333
nightly_wifi,0.4,20,929440.4493133726,0.8666666666666667
nightly_wifi,0.4,21,952448.504904396,0.975
nightly_wifi,0.4,22,951460.8490360078,0.9833333333333333
nightly_wifi,0.4,23,928988.2769921918,0.7416666666666667
nightly_wifi,0.4,24,896704.7723412256,0.9416666666666667
nightly_wifi,0.4,25,847727.2379636955,1.0
nightly_wifi,0.4,26,863028.7132665712,1.0
nightly_wifi,0.4,27,957623.6492623526,0.725
nightly_wifi,0.4,28,902955.0375196099,0.6416666666666667
nightly_wifi,0.4,29,893276.6559238072,0.925
nightly_wifi,0.5,0,891813.1641623771,0.8833333333333333
nightly_wifi,0.5,1,890662.8151075043,0.875
nightly_wifi,0.5,2,939663.3246781568,1.0
nightly_wifi,0.5,3,929290.6927726811,1.0
nightly_wifi,0.5,4,929741.0861729276,0.725
nightly_wifi,0.5,5,806009.3129028645,1.0
nightly_wifi,0.5,6,931359.888004132,0.7416666666666667
nightly_wifi,0.5,7,890985.4655302492,1.0
nightly_wifi,0.5,8,850824.9377962383,1.0
nightly_wifi,0.5,9,893503.3096236547,0.6833333333333333
nightly_wifi,0.5,10,833650.0683292943,0.9916666666666667
nightly_wifi,0.5,11,779126.110233418,0.85
nightly_wifi,0.5,12,808875.1281921978,0.5916666666666667
nightly_wifi,0.5,13,908182.2571767629,0.85
nightly_wifi,0.5,14,928893.5363358271,0.8666666666666667
nightly_wifi,0.5,15,936862.4852937213,0.6833333333333333
nightly_wifi,0.5,16,850800.268283309,1.0
nightly_wifi,0.5,17,955060.328169213,0.9166666666666666
nightly_wifi,0.5,18,805071.4446724189,0.7083333333333334
nightly_wifi,0.5,19,862188.1445929484,0.8833333333333333
nightly_wifi,0.5,20,864386.3619826906,0.8666666666666667
nightly_wifi,0.5,21,906167.0921859411,1.0
nightly_wifi,0.5,22,916211.4824646796,1.0
nightly_wifi,0.5,23,854580.5809441521,0.7416666666666667
nightly_wifi,0.5,24,821534.7800812259,0.95
nightly_wifi,0.5,25,776598.501063107,1.0
nightly_wifi,0.5,26,794952.9382791201,1.0
nightly_wifi,0.5,27,901577.3718764845,0.725
nightly_wifi,0.5,28,826950.4902034804,0.6416666666666667
nightly_wifi,0.5,29,815920.1549519093,0.925
nightly_wifi,0.6,0,820986.6074571372,0.8833333333333333
nightly_wifi,0.6,1,810169.2945155127,0.875
nightly_wifi,0.6,2,848436.8536959616,1.0
nightly_wifi,0.6,3,852024.9847734966,1.0
